GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age,distance_to_litpop_km,litpop_asset_value,litpop_value_50km
P100000120119,Hebei Donghai Special Steel Co Ltd,Hebei Donghai SPECIAL Steel Group Co Ltd,China,Asia Pacific,39.610605,118.474722,10001.0,17.0,2.1290054670354035,1222250055.6719754,204148015366.28906
P100001064139,Hebei Guanfeng Metallurgical Industry Co Ltd,Hebei Guanfeng Metallurgical Industry Co Ltd,China,Asia Pacific,36.73422,114.111085,0.0,18.93,3.134282818854229,2791499561.2492723,188279097079.84662
P100000120151,Hebei Huaxi Iron and Steel Co Ltd,Luannan Huarui Steel Co Ltd,China,Asia Pacific,39.51833,118.715766,,19.0,2.6720690197328905,1572778754.3996863,122208342739.46231
P100000120323,Hebei Huaxi Special Steel Co Ltd,Hebei Huaxi Special Steel Co Ltd,China,Asia Pacific,39.260784,119.005925,1824.0,5.0,4.610558780096811,658638310.9064554,14648275399.768066
P100000120378,Hebei Huaxin Special Steel Co Ltd,Hebei Huaxin Special Steel Co Ltd,China,Asia Pacific,36.53048,114.245262,1350.0,5.0,3.5260211150296317,1439683054.8066726,226338846200.95425
P100001064078,Hebei Jingdong Pipe Industry Co Ltd,Hebei Jingdong Pipe Industry Co Ltd,China,Asia Pacific,39.932656,118.836844,0.0,23.65,4.328089617669879,177055102.2953652,58267189145.948364
P100000120117,Hebei Jinxi Iron and Steel Group Co Ltd,Hebei Jinxi Iron & Steel Group Co Ltd,China,Asia Pacific,40.209844,118.220547,5000.0,40.0,1.0506856648212801,251849587.08247745,43499881101.07147
P100000120350,Hebei Longfengshan Casting Co Ltd,Hebei PROVINCE Longfengshan Casting Industry Co Ltd,China,Asia Pacific,36.705105,114.105387,0.0,27.0,1.7848833014914507,2791499561.2492723,189282802008.3607
P100000120307,Hebei Mingbin Iron and Steel Co Ltd,Hebei New Wuan Steel Group Wenan IRON&STEEL Co Ltd,China,Asia Pacific,36.631491,113.968635,,,1.1687737586329985,188809636.46592227,112086437685.09372
P100000120113,Hebei Puyang Iron and Steel Co Ltd,Hebei Puyang Iron and Steel Co Ltd,China,Asia Pacific,36.733675,113.925995,5567.0,34.0,4.030871122920571,313791587.31473416,88905961808.20065
P100000120145,Hebei Rongxin Steel Co Ltd,Hebei Rongxin Iron & Steel Co Ltd,China,Asia Pacific,39.880661,118.558755,2300.0,24.0,1.588255075997029,796505445.106471,185382304519.087
P100000120325,Hebei Taihang Iron and Steel Group Co Ltd,Hebei Taihang Iron and Steel Group Co Ltd,China,Asia Pacific,36.613716,114.082349,3950.0,5.0,3.841459766838467,383769388.9911753,160749878225.58725
P100000120150,Hebei Tangyin Iron and Steel Co Ltd,Hebei Tangyin IRON&STEEL Co Ltd,China,Asia Pacific,39.699354,118.213188,,14.0,1.081386467298828,13017662437.888332,201393300093.7253
P100000120328,Hebei Tangyin Iron and Steel Co Ltd Caofeidian base,Hebei Tangyin IRON&STEEL Co Ltd,China,Asia Pacific,39.160401,118.429806,2300.0,20.0,4.641974110497237,146526011.7107865,35055495152.88551
P100000120324,Hebei Tianzhu Iron and Steel Group Co Ltd,Hebei Tianzhu Iron and Steel Group Special Steel Co Ltd,China,Asia Pacific,39.270032,119.01376,3034.0,4.0,3.399494976127943,658638310.9064554,16055344208.807579
