GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age
P100000120617,Bonab Steel Complex,Bonab Steel Complex,Iran,Middle East,37.417437,46.035778,1000.0,21.0
P100001061667,BPA Metallics Raigarh steel plant,BPA Metallics Pvt Ltd,India,Asia Pacific,21.926993,83.374089,,
P100000120483,British Steel Scunthorpe plant,British Steel Ltd,United Kingdom,Europe,53.580827,-0.616509,,162.0
P100000121223,British Steel Teesside plant,British Steel Ltd,United Kingdom,Europe,54.589435,-1.133055,,
P100000120022,BSRM Ltd Mirsarai steel plant,Bangladesh Steel Re-Rolling Mills Ltd,Bangladesh,Asia Pacific,22.870631,91.545862,1150.0,9.72
P100000120021,BSRM Steels Mirsarai plant,BSRM Steels Ltd,Bangladesh,Asia Pacific,22.873774,91.545562,770.0,7.0
P100000120592,Butia Iranian Steel Kerman plant,Butia Iranian Steel Co,Iran,Middle East,30.4912,56.8214,1500.0,15.0
P100000120056,Byelorussian Steel Works,BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC,Belarus,Europe,52.849321,29.988985,3000.0,42.0
P100001047724,Cag Celik steel plant,Çağ Çelik Iron and Steel Inc,Türkiye,Europe,41.23542,32.645679,,
P100000121154,Cambodia Iron and Steel Preah Vihear Plant,Cambodia Iron & Steel Mining Industry Group Co Ltd,Cambodia,Asia Pacific,13.366642,105.118129,,
P100000120125,Cangzhou China Railway Equipment Manufacture Material Co Ltd,Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,China,Asia Pacific,38.289221,117.814367,7500.0,20.0
P100000120385,Cangzhou Lingang Sanling Metal Co Ltd,Cangzhou Lingang Sanling Metal Co Ltd,China,Asia Pacific,38.311738,117.457779,1000.0,31.0
P100000120066,CAP Acero Huachipato steel plant,Compania Siderurgica Huachipato SA,Chile,Central & South America,-36.746421,-73.129171,,74.71
P100001082544,Captain Steel Debipur steel plant,Captain Steel India Ltd,India,Asia Pacific,23.782149607591688,86.83591234561024,208.0,4.0
P100001023577,Captain Steel Garbeta steel plant,Captain Steel India Ltd,India,Asia Pacific,22.855859,87.345018,,0.0
P100000120984,Cascade Steel Rolling Mills,Cascade Steel Rolling Mills Inc,United States,North America,45.228035,-123.163599,860.0,58.0
P100000120892,Cebitas steel plant,Çebitaş Demir Çelik Endüstrisi AŞ,Türkiye,Europe,38.74074,26.951743,860.0,37.0
P100000120456,Celsa Barcelona Castellbisbal steel plant,Compania Espanola de Laminacion SL,Spain,Europe,41.454855,1.980107,2500.0,69.0
P100000120474,Celsa France Boucau steel plant,Celsa France SAS,France,Europe,43.529693,-1.500971,1200.0,61.0
P100000120462,Celsa Global Steel Wire Santander plant,Global Steel Wire SA,Spain,Europe,43.445344,-3.839228,750.0,127.0
P100000120788,Celsa Huta Ostrowiec steel plant,Celsa Huta Ostrowiec SP zoo,Poland,Europe,50.947305,21.448763,1220.0,213.0
P100000120467,Celsa Nervacero steel plant,Nervacero SA,Spain,Europe,43.30806,-3.026309,1000.0,55.0
